epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,621.396,0.43345,0.27428,0.79943,0.88324,0.81897,0.85637,0.60528,1.00119,0.74045,0.98403,0.000966856,0.000966856,0.000966856
43,635.978,0.41443,0.27062,0.79313,0.88789,0.82806,0.84866,0.57296,0.98507,0.72047,0.97765,0.000965239,0.000965239,0.000965239
44,648.877,0.41967,0.27537,0.79658,0.89096,0.83455,0.86934,0.59516,1.03852,0.76637,1.0457,0.000963585,0.000963585,0.000963585
45,664.358,0.4263,0.27689,0.80009,0.87313,0.824,0.85378,0.61277,1.01147,0.72174,0.98764,0.000961894,0.000961894,0.000961894
46,680.088,0.42233,0.2737,0.79446,0.88949,0.83616,0.86606,0.61722,0.98659,0.75342,0.99602,0.000960166,0.000960166,0.000960166
47,693.602,0.42145,0.26961,0.79894,0.87739,0.83568,0.83207,0.56839,0.99803,0.75094,1.00365,0.000958402,0.000958402,0.000958402
48,707.773,0.43346,0.27431,0.79649,0.85422,0.85081,0.85378,0.59224,0.98919,0.7157,0.95531,0.000956601,0.000956601,0.000956601
49,722.408,0.40993,0.2703,0.79371,0.8593,0.82519,0.84603,0.5804,0.99919,0.7107,0.96839,0.000954763,0.000954763,0.000954763
50,738.274,0.41375,0.26877,0.79807,0.85056,0.83884,0.82624,0.59002,0.97941,0.7349,0.98726,0.000952889,0.000952889,0.000952889
51,752.001,0.41695,0.26711,0.79228,0.87435,0.84678,0.8479,0.62106,0.96836,0.67012,0.9984,0.00095098,0.00095098,0.00095098
52,766.091,0.41377,0.26105,0.79305,0.84926,0.84649,0.84547,0.59374,0.99886,0.73551,0.98131,0.000949034,0.000949034,0.000949034
53,781.296,0.39819,0.25736,0.78995,0.86079,0.83045,0.85731,0.61732,1.00068,0.70682,0.98384,0.000947052,0.000947052,0.000947052
